Customer_ID,Age,Gender,Region,Annual_Income,Years_as_Customer,Email_Opt_In,Promotion_Response,Num_Campaigns_Received,Num_Campaigns_Clicked,Website_Visits_Per_Month,App_Usage_Hours_Month,Social_Media_Engagement_Score,Total_Spend,Num_Purchases_Last_Year,Avg_Order_Value,Discount_Usage_Rate,Customer_Satisfaction_Score,Support_Tickets_Raised,Loyalty_Program_Member,Preferred_Channel,Last_Purchase_Days_Ago,Target_Churn
CUST10988,35,Female,West,910050.8714,4.4,Yes,Ignored,9,3,11,1.2,24.4,1264.44,8,158.06,0.55,8.1,1,Yes,In-Store,12,No
CUST10657,38,Female,West,34156.6,0.8,Yes,Unsubscribed,9,1,8,1.8,20.3,1615.82,7,230.83,,7.7,1,No,In-Store,98,Yes
CUST10962,40,Male,North,57985.25,2.3,Yes,Responded,2,1,7,1.7,34.7,1941.85,4,485.46,0.038,7.9,2,No,Online,63,No
CUST10088,32,Male,Central,92142.16,6.3,No,Unsubscribed,5,0,5,4.6,83.4,1384.13,5,276.83,0.237,4.2,0,Yes,Online,3,Yes
CUST10758,28,Male,Central,55125.15,,Yes,Ignored,13,2,6,2.7,72.1,697.44,11,63.4,0.106,9.5,1,No,Online,25,No
CUST10726,38,Other,West,21354.62,1.1,No,Ignored,7,0,6,3.1,25.3,1243.87,14,88.85,0.611,5.7,0,Yes,Online,0,No
CUST10305,39,Female,South,65246.61,1.9,Yes,Unsubscribed,6,2,8,3.1,78.3,1126,12,93.83,0.336,7.6,1,Yes,Online,45,No
CUST10778,37,Female,Central,35513.65,2.9,Yes,Ignored,8,3,6,1,79.7,1740.56,16,108.78,0.203,9.8,2,Yes,Online,16,No
CUST10396,18,Female,South,69414.54,0.5,No,Ignored,8,3,3,0.3,78.2,771.47,9,85.72,0.443,6.7,1,No,Online,57,Yes
CUST10985,24,Male,East,99700.07,5.9,No,Ignored,10,6,9,3.9,53.9,751.94,13,57.84,,5.4,2,No,Mobile App,2,No
CUST11105,26,Male,Central,112809.35,1.4,Yes,Responded,2,0,11,7.7,21.7,1520.09,8,190.01,0.373,9,0,Yes,In-Store,29,No
CUST11061,18,Male,North,127373.51,2.7,No,Ignored,6,2,7,,63,593.35,13,45.64,0.475,4.6,1,Yes,Online,16,No
CUST10617,47,Other,East,21046.61,2.5,No,Ignored,7,3,9,1.4,66.6,474.29,10,47.43,0.042,,0,No,Online,63,Yes
CUST10356,38,Female,South,55424.45,3.2,Yes,Unsubscribed,1,0,12,3.9,98,884.19,8,110.52,0.154,10,2,Yes,Mobile App,10,Yes
CUST10408,39,Female,Central,31923.18,3,Yes,Unsubscribed,9,4,7,7.5,81.6,885.59,11,80.51,0.203,7.6,1,Yes,Online,13,No
CUST10146,23,Male,North,92879.35,2.3,No,Responded,6,2,8,1.1,17.4,770.24,11,70.02,0.13,10,1,No,In-Store,28,No
CUST10086,49,Female,South,35447.43,0,No,Responded,5,1,15,2.6,14.2,335.44,10,33.54,0.039,6.8,1,No,In-Store,87,No
CUST10124,45,Female,Central,94319.72,1.8,Yes,Unsubscribed,8,3,7,5.5,45.4,1555.96,7,222.28,0.16,7.7,2,No,In-Store,27,Yes
CUST11026,38,Male,West,64907.58,9.6,Yes,Ignored,12,5,7,3.1,46.8,734,5,146.8,0.138,8.2,1,No,Mobile App,93,No
CUST10295,30,Female,South,,3.6,Yes,Responded,11,3,1,9.1,,1493.43,11,135.77,,4.4,2,No,Mobile App,33,No
CUST10223,19,Female,North,109739.18,8.1,Yes,Ignored,5,1,12,4.3,55.9,548.9,3,182.97,,7.5,1,Yes,In-Store,68,No
CUST10456,37,Male,West,38265.31,1.8,Yes,Responded,5,1,8,14.1,28.4,608.67,9,67.63,0.281,7,1,Yes,In-Store,66,No
CUST10017,42,Male,Central,35823.94,0.1,No,Responded,6,2,12,2,31.6,736.5,10,73.65,0.481,4.4,2,Yes,In-Store,83,Yes
CUST10383,32,Female,West,35898.17,,No,Ignored,8,2,7,5.8,54.5,406.21,5,81.24,0.29,7.4,2,Yes,In-Store,39,No
CUST11082,34,Female,South,30012.44,0.6,Yes,Unsubscribed,11,4,9,0.3,49.7,1650.11,12,137.51,0.124,5.7,0,Yes,Online,14,Yes
CUST10378,64,Female,West,47976.18,4.6,Yes,Unsubscribed,4,0,5,0.8,10.8,172.25,16,10.77,0.045,7.3,0,Yes,Online,22,Yes
CUST10708,18,Female,East,34539.38,2.6,No,Ignored,12,5,10,3.2,38.5,313.23,5,62.65,0.277,3.4,0,Yes,In-Store,16,Yes
CUST10982,26,Female,North,40128.64,0.3,No,Ignored,6,3,7,9.4,40.9,499.46,8,62.43,0.27,6.4,1,No,In-Store,168,No
CUST11161,65,Male,South,54936.38,0.3,Yes,Responded,8,1,3,2.5,27.6,775.61,15,51.71,0.263,8.4,2,No,Online,6,No
CUST10245,34,Female,South,38584.04,,No,Ignored,9,1,8,10.1,58.7,855.39,9,95.04,0.672,7.1,0,Yes,Online,47,No
CUST10499,21,Female,South,53975.25,2.1,No,Unsubscribed,2,0,8,1.8,8.8,902.59,12,75.22,0.16,7,1,Yes,Online,1,Yes
CUST10193,23,Female,East,50520.95,8.4,Yes,Ignored,6,3,5,1.9,1.4,965.21,6,160.87,0.383,4.3,3,No,Online,28,No
CUST10466,45,FEMALE,South,60972.8,,No,Ignored,9,3,15,0.5,7.5,967.26,11,87.93,0.052,4.1,0,No,In-Store,56,No
CUST10144,41,Male,West,34533.04,0,No,Responded,6,2,7,8.7,59.4,263.32,10,26.33,0.246,7.8,2,Yes,Online,51,No
CUST10478,75,Female,South,110204.57,4.9,No,Responded,5,1,10,0.2,76.1,1229.1,7,175.59,0.485,5.4,1,Yes,In-Store,33,Yes
CUST10593,42,Female,East,54379.55,0.7,No,Responded,9,3,8,10.2,66,1734.55,5,346.91,0.139,8.7,1,No,Online,3,No
CUST10640,34,Female,North,18563.6,5.5,No,Ignored,8,3,8,5.8,25,859.64,8,107.46,0.404,7.1,3,Yes,Online,23,Yes
CUST10214,34,Male,South,93983.27,1.4,Yes,Ignored,10,5,6,0.7,57.3,413.94,9,45.99,0.106,4.9,3,Yes,Online,44,No
CUST10799,38,Male,East,81810.29,3.7,Yes,Responded,6,1,7,3.6,48,872.86,8,109.11,0.527,6.2,3,No,Online,74,No
CUST11023,64,Female,Central,28038.6,7.5,No,Responded,7,1,12,5.2,91.9,603.63,6,100.6,,7.8,1,No,Mobile App,2,No
CUST10703,21,Female,West,59866.22,3.5,Yes,Ignored,5,1,7,1.7,48.6,1176.14,12,98.01,0.113,7.3,0,No,Mobile App,12,No
CUST10813,40,Male,West,50451.19,0.5,No,Ignored,8,2,8,3.7,31.9,753.48,6,125.58,0.241,7.8,1,No,In-Store,55,Yes
CUST10570,38,Male,West,25132.73,,No,Ignored,5,2,9,4.5,48.6,1145.73,11,104.16,0.017,5.9,0,No,In-Store,20,No
CUST10504,30,Male,East,78868,1.7,Yes,Responded,10,1,12,4.5,6.9,1554.36,10,155.44,0.216,7.8,1,No,Mobile App,4,No
CUST10960,46,Female,South,38543.58,8.1,Yes,Ignored,5,1,8,19.5,,653.56,4,163.39,0.675,8.2,1,Yes,Mobile App,41,No
CUST10153,41,Male,West,70155.44,2.6,No,Ignored,4,2,9,3.4,22.4,19411.96592,10,182.61,0.118,7.4,0,No,Online,27,Yes
CUST10467,47,Male,North,57287.97,4.7,Yes,Ignored,3,1,6,4.1,11.5,590.28,12,49.19,0.526,5.1,2,No,In-Store,0,No
CUST10700,32,Female,East,60692.66,0.7,Yes,Unsubscribed,8,1,7,3.5,75.9,546.35,9,60.71,,6.7,4,Yes,Online,18,Yes
CUST10253,50,Female,West,63772.98,0.2,No,Unsubscribed,6,1,5,4.5,6.1,848.45,11,77.13,0.255,,2,No,In-Store,113,Yes
CUST10644,35,Female,Central,53415.32,1.3,No,Responded,11,1,12,1.7,49.9,686.35,10,68.64,0.114,3.6,2,No,In-Store,24,Yes
CUST10002,46,Other,South,69723.08,1.5,No,Unsubscribed,4,1,12,6.6,53.9,556.68,8,69.58,0.432,5.2,2,No,In-Store,8,Yes
CUST10042,37,Female,West,,0.4,No,Unsubscribed,9,2,5,3.8,82.9,2542.97,7,363.28,0.379,7.8,0,No,In-Store,24,Yes
CUST10858,31,Male,West,37670.9,3.1,Yes,Ignored,5,1,7,3.1,10.1,1062.68,12,88.56,0.073,6.8,0,No,Online,16,No
CUST10401,31,Male,South,41536.8,0.7,No,Ignored,5,1,13,0.7,69.7,752.94,10,75.29,0.073,6.9,2,Yes,In-Store,121,Yes
CUST10630,18,Female,North,60367.89,1.6,Yes,Ignored,3,1,9,1.2,86.5,1146.77,11,104.25,0.159,7.1,0,Yes,Online,61,No
CUST10588,48,Male,Central,63529.97,0.2,No,Unsubscribed,10,4,9,3.7,4.3,1897.75,3,632.58,0.177,6.1,2,No,Online,15,Yes
CUST11050,30,Male,North,45717.53,1.9,Yes,Responded,6,1,6,1.3,35.6,1978.57,9,219.84,0.139,2.2,1,Yes,Online,206,Yes
CUST10369,29,Female,North,52192.93,,No,Responded,11,4,5,6.5,42.3,1083.78,5,216.76,0.092,6.5,3,Yes,Online,50,Yes
CUST10695,34,Other,Central,85937.05,6.6,No,Unsubscribed,6,2,7,1.9,49.4,2136.31,3,712.1,0.105,3.3,0,No,In-Store,6,No
CUST10065,54,Male,North,29361.41,1.5,Yes,Responded,4,0,9,1.2,65.8,1217.09,9,135.23,0.204,7.7,1,Yes,Online,11,No
CUST10757,40,Male,East,63740.41,1.6,Yes,Ignored,9,3,11,0.6,38.4,1411.59,14,100.83,0.342,,1,No,Online,37,No
CUST11182,49,Female,Central,32843.06,1.3,No,Ignored,3,0,10,2,41.1,1193.27,7,170.47,0.345,5.3,2,Yes,Online,45,Yes
CUST10143,40,Female,West,49055.16,0.2,Yes,Unsubscribed,8,0,9,3.6,86.1,607.42,9,67.49,0.341,8.6,2,Yes,In-Store,65,Yes
CUST11021,31,Female,North,39165.13,6.4,Yes,Responded,5,1,9,1.8,85,226.29,7,32.33,0.599,7.9,0,No,In-Store,6,Yes
CUST10685,47,Female,South,67145.53,2.8,Yes,Ignored,5,3,14,1.3,39.2,1619.11,7,231.3,0.325,5.3,1,No,Online,71,Yes
CUST10213,46,Female,South,54433.44,0.8,Yes,Unsubscribed,5,1,10,1.9,75,730.95,11,66.45,0.059,8.3,1,No,Online,82,Yes
CUST11159,34,Male,South,,1.4,Yes,Ignored,5,1,9,2.3,74.9,1825.48,2,912.74,0.165,5.6,1,No,Mobile App,56,Yes
CUST10637,39,Female,Central,78086.47,8.6,No,Responded,10,3,7,4.3,53.1,1896.56,11,172.41,0.36,7,2,Yes,Online,15,No
CUST10910,34,Female,East,58574.07,8.7,No,Unsubscribed,7,1,12,,46.9,1107.37,8,138.42,0.173,,2,No,Online,145,Yes
CUST11002,39,Male,Central,29075.86,5.1,No,Unsubscribed,7,2,7,1.1,80.1,876.11,8,109.51,0.208,1,1,No,Online,15,Yes
CUST10619,41,Male,South,92442.87,1.2,Yes,Responded,11,3,8,3,99.9,1485.73,14,106.12,0.525,7.8,1,No,In-Store,48,No
CUST10107,40,Female,East,129350.5,1.2,Yes,Responded,2,1,4,5.3,63.5,1018.1,9,113.12,0.098,,1,No,Online,47,No
CUST10812,55,Male,South,38734,1.5,Yes,Ignored,8,1,10,2.8,,442.53,3,147.51,0.497,7.8,2,Yes,Online,72,No
CUST10958,45,Female,West,73650.74,7.7,No,Unsubscribed,9,2,9,9.4,4.6,1252.28,10,125.23,0.269,6.9,1,No,Online,62,Yes
CUST10154,42,Male,North,104151.41,12.9,No,Ignored,8,2,6,0.6,55.2,713.14,5,142.63,0.036,8.4,2,Yes,Online,10,No
CUST10129,32,Male,North,41974.02,1.3,Yes,Unsubscribed,6,1,4,5.4,41,659.95,10,66,0.273,7.5,2,No,Online,117,Yes
CUST10680,47,Male,Central,86998.89,4.3,Yes,Responded,2,0,13,6.6,61.8,660.02,5,132,0.254,8.3,0,No,Mobile App,0,No
CUST10397,54,Female,South,,3.2,Yes,Unsubscribed,5,1,7,,70.1,442.3,12,36.86,0.178,8,2,No,In-Store,77,No
CUST10603,54,Male,South,32226.2,11.6,Yes,Ignored,9,3,7,6.6,76.8,719.49,5,143.9,0.555,7.7,2,Yes,Online,77,No
CUST10821,55,Female,Central,44909.49,5.8,Yes,Responded,8,2,4,14.6,76.4,1006.58,10,100.66,0.093,7.2,1,Yes,In-Store,4,No
CUST10450,37,Male,North,68864.86,4.1,No,Ignored,5,2,7,3.6,67.5,1322.02,12,110.17,0.127,9.5,3,No,Online,50,No
CUST10481,27,Female,South,122124.03,3.4,No,Unsubscribed,1,0,10,4.3,11.9,729.65,9,81.07,0.2,7.4,1,Yes,Online,72,Yes
CUST10927,43,Female,South,63550.7,16.2,Yes,Unsubscribed,3,1,5,4.3,9.4,593.32,11,53.94,0.233,6.9,1,No,Mobile App,1,Yes
CUST10606,29,Male,North,69808.81,2,No,Ignored,5,2,11,1.6,92.9,479.79,9,53.31,0.244,7,0,No,In-Store,27,No
CUST10770,46,Male,North,66422.34,1.1,Yes,Ignored,3,1,9,0.5,61.9,557.61,10,55.76,0.031,6.6,3,Yes,Online,38,No
CUST10973,30,Male,West,44549.34,1.4,No,Responded,7,3,9,3.1,87.8,729.22,7,104.17,0.132,3.4,1,No,Online,63,Yes
CUST10984,38,Male,South,85914.12,0.3,Yes,Unsubscribed,8,1,2,13.4,16.6,1055.92,6,175.99,0.258,7,1,No,Online,18,No
CUST10259,47,Male,North,28715.83,3.7,No,Responded,2,0,10,5.4,68,408.99,12,34.08,0.124,10,2,Yes,Mobile App,18,No
CUST10959,43,Male,South,44711.99,2,Yes,Unsubscribed,6,1,8,9.3,17.1,578.72,8,72.34,0.09,4.3,1,No,Online,18,Yes
CUST11000,55,Male,South,43611.06,7.2,No,Ignored,9,2,8,0,31.3,1447.76,7,206.82,,6.3,1,Yes,Online,88,Yes
CUST10590,39,Male,East,44483.42,4.5,No,Ignored,3,2,9,2.8,72.2,1182.08,5,236.42,0.258,9.1,1,Yes,Online,1,No
CUST10025,39,Female,South,21756.94,5.7,Yes,Ignored,8,2,6,0.3,71.8,1349.63,12,112.47,0.104,5.3,4,Yes,Online,79,No
CUST10684,23,Female,West,57240.22,2.4,No,Ignored,4,1,7,5.5,27.2,1952.23,2,976.12,0.053,7.7,1,No,In-Store,60,Yes
CUST10167,61,Other,West,43306.42,0.6,Yes,Ignored,9,2,5,4.1,68.1,1907.87,7,272.55,0.224,6.2,2,Yes,Online,4,No
CUST11154,58,Male,Central,61861.7,1.9,Yes,Unsubscribed,6,1,9,15.2,29.3,897.83,13,69.06,0.08,7.6,1,No,Mobile App,109,Yes
CUST11066,22,Male,South,,0.3,Yes,Responded,5,0,12,2,66.5,1425.56,13,109.66,0.285,6.6,1,No,In-Store,21,No
CUST10582,46,Male,East,39496.92,6.7,No,Responded,9,1,6,10.5,44.2,376.22,8,47.03,0.199,7.7,0,No,Online,23,No
CUST10587,28,Female,West,47573.53,2.8,Yes,Ignored,3,1,9,0,65,561.23,9,62.36,0.34,7.5,0,Yes,Online,133,Yes
CUST10541,24,Male,North,101484.72,5.5,Yes,Ignored,13,5,7,3,29.4,1700.71,6,283.45,0.364,4,2,No,In-Store,14,No
CUST10403,39,Male,South,108913.72,2,Yes,Ignored,7,5,5,12.9,31.2,1860.39,10,186.04,0.545,7.1,3,Yes,Online,136,Yes
CUST10262,18,Female,East,88512.19,1.4,No,Ignored,3,1,6,9.5,56,421.35,13,32.41,0.329,7.2,1,No,Online,59,No
CUST10939,31,Female,South,,3.4,No,Ignored,2,1,7,15.2,,1574.82,17,92.64,0.121,4.2,1,Yes,In-Store,6,No
CUST10713,43,Female,North,52817.38,0.7,No,Ignored,6,2,7,8.2,32,528.84,12,44.07,0.038,6.2,2,Yes,Online,49,No
CUST10716,39,Female,North,81921.97,4.1,Yes,Ignored,3,1,5,0.9,54.9,1007.09,9,111.9,0.07,6.8,1,No,Online,56,No
CUST10501,61,Male,East,43623.35,1,Yes,Ignored,4,0,10,0.1,52.1,895.94,10,89.59,0.162,5.1,0,No,In-Store,10,No
CUST11080,34,Female,West,77105.35,1.3,Yes,Unsubscribed,7,1,11,4.1,31.5,471.68,9,52.41,0.307,4.2,3,No,Online,77,Yes
CUST10518,39,Male,East,66826.96,3.1,No,Responded,8,2,11,2,13.5,862.87,8,107.86,0.328,7.9,0,No,Online,50,Yes
CUST10269,40,Female,South,50307.7,5.1,No,Unsubscribed,3,2,15,6,19.2,1493.36,6,248.89,0.159,6,1,Yes,In-Store,75,Yes
CUST10574,48,Other,West,38783.38,0.4,no,Ignored,3,1,13,0.8,8.9,756.26,7,108.04,0.124,7.6,2,No,In-Store,94,No
CUST10578,20,Female,West,69382.2,3.9,Yes,Ignored,6,3,5,1.3,68.7,2140.44,9,237.83,0.53,4.6,1,Yes,In-Store,91,Yes
CUST10611,37,Female,West,20306.54,3.3,No,Ignored,4,1,5,3.9,19.7,247.37,7,35.34,0.391,8.8,1,No,In-Store,24,No
CUST10668,18,Female,South,47720.79,0.2,Yes,Ignored,3,1,7,,88.9,564.5,12,47.04,0.344,5.1,3,No,In-Store,11,Yes
CUST10571,58,Female,West,,2,Yes,Responded,5,1,4,12,19.3,703.94,7,100.56,,,0,No,Online,17,No
CUST10725,36,Female,West,,2.7,No,Responded,5,0,6,5,16.2,572.66,8,71.58,,5.8,1,No,Online,67,Yes
CUST10300,28,Female,South,47175.63,3.8,Yes,Ignored,6,2,10,0.5,6.1,794.93,8,99.37,0.397,6.2,0,Yes,Mobile App,21,No
CUST10860,40,Other,Central,44649.11,3.6,Yes,Ignored,2,1,9,15.9,35.8,336.9,7,48.13,0.449,7,3,No,In-Store,139,No
CUST10343,32,Male,Central,39441.33,5.7,No,Ignored,4,0,8,10.4,46.6,1340.12,12,111.68,,3.2,1,Yes,In-Store,1,Yes
CUST10594,50,Female,East,66899.66,3.9,Yes,Responded,7,3,10,0.1,93.1,215.42,6,35.9,0.222,7.4,1,No,Online,37,No
CUST10225,51,OTHER,West,30748.73,1.7,No,Ignored,5,0,10,0.9,53.9,1521.15,11,138.29,0.319,,4,No,Mobile App,17,No
CUST11145,38,Male,South,,2,Yes,Ignored,4,1,9,3.8,42.6,287.03,7,41,0.213,7.2,1,Yes,Mobile App,82,Yes
CUST10483,40,Female,East,18813.59,0.4,Yes,Unsubscribed,6,3,7,6.8,50.5,780.53,9,86.73,0.443,7.9,1,Yes,Online,71,Yes
CUST11143,40,Female,East,,0.2,Yes,Ignored,6,1,7,3.7,82,1233.75,11,112.16,0.283,10,0,No,Mobile App,22,No
CUST10666,35,Female,West,86333.5,1.5,Yes,Ignored,12,7,7,5.9,59.3,917.78,12,76.48,0.228,6.7,0,Yes,Online,10,No
CUST10301,31,Female,South,39167.06,2.2,Yes,Ignored,5,1,5,7.8,36.8,372.13,5,74.43,0.348,8.9,0,No,Online,80,No
CUST10177,55,Male,Central,63935.94,0.8,Yes,Unsubscribed,7,1,8,2.2,81.5,671.3,8,83.91,0.208,6,0,No,Online,11,Yes
CUST10319,36,Male,Central,88125.45,2.2,No,Responded,6,1,10,0.9,25.6,1053.08,13,81.01,0.292,7.7,0,No,Online,45,No
CUST11157,65,Female,East,19070.81,6.8,Yes,Ignored,9,3,11,7.5,21.7,824.82,5,164.96,0.152,7.6,5,Yes,Online,4,No
CUST10299,46,Male,South,17457.11,1.6,No,Ignored,9,5,6,0.6,,1280.81,8,160.1,,9.7,1,Yes,Mobile App,1,Yes
CUST11102,63,Male,South,20819.31,2.5,Yes,Ignored,3,0,7,0.2,55.9,937.05,9,104.12,0.053,9.6,3,Yes,Online,24,No
CUST10236,18,Female,East,31844.41,1.1,No,Ignored,7,1,9,3.9,73.5,1224.27,16,76.52,0.313,7.9,0,Yes,Mobile App,137,No
CUST11090,37,Other,Central,30661.14,7.8,Yes,Unsubscribed,6,1,5,17.4,29.3,885.52,11,80.5,0.361,6.3,1,No,In-Store,2,Yes
CUST10796,38,Female,Central,72553.89,1.6,Yes,Ignored,6,2,8,1.1,98.8,598.25,7,85.46,0.58,5.6,0,No,In-Store,25,No
CUST10786,48,Male,South,42896.83,7.2,Yes,Unsubscribed,4,1,9,1.9,59.5,744.56,10,74.46,,7.2,2,No,Mobile App,42,No
CUST10923,30,Other,North,74458.04,6.4,Yes,Ignored,5,3,12,0,63.6,366.63,9,40.74,0.397,4.8,0,Yes,Online,73,Yes
CUST10500,49,Female,Central,42288.97,1.1,Yes,Ignored,4,1,6,6.4,49.3,1035.74,12,86.31,0.173,10,2,Yes,Online,8,No
CUST10480,36,Male,North,17509.35,2,Yes,Ignored,10,5,9,3.5,41.5,835.8,13,64.29,0.055,5,3,Yes,Online,48,No
CUST10806,41,Female,North,81132.78,1.8,Yes,Ignored,5,0,12,5.4,1.4,616.41,9,68.49,,7.1,0,No,Online,83,No
CUST10304,38,Female,South,52395.37,0.2,Yes,Responded,5,2,9,2.9,50.1,1908.3,7,272.61,0.491,7.6,3,Yes,Online,12,No
CUST10643,20,Female,Central,18239.36,2.6,No,Unsubscribed,4,2,8,1.4,13.2,518.63,11,47.15,,5.3,2,Yes,Mobile App,83,No
CUST10307,31,MALE,Central,81793.3,2,Yes,Responded,5,0,4,4,6.4,1109.08,8,138.64,0.3,6.4,2,No,Online,23,No
CUST10030,31,Female,South,33830.21,5.8,Yes,Unsubscribed,3,1,14,6,41,942.78,4,235.7,,5,1,Yes,In-Store,78,No
CUST10003,56,Female,West,47222.12,5.8,Yes,Ignored,2,0,6,0.2,75.7,2522.3,4,630.58,0.24,6.8,7,No,In-Store,24,No
CUST10542,44,Female,North,94494.18,2.1,Yes,Ignored,6,1,18,0.6,67.7,1088.63,13,83.74,0.146,4.4,0,Yes,Online,91,No
CUST10224,32,Female,West,42231.85,9.3,Yes,Ignored,3,2,8,4,21.4,706.53,9,78.5,0.193,3.6,1,Yes,Online,108,Yes
CUST10136,29,MALE,North,,2,Yes,Unsubscribed,4,1,8,3.9,10.7,1479.46,16,92.47,0.319,6.9,1,No,Online,27,Yes
CUST10172,37,Male,South,68985.79,8.6,No,Ignored,7,1,7,0.3,15,1040.02,4,260,0.341,7.1,0,No,Online,2,Yes
CUST10819,51,Female,West,51260.1,11.4,Yes,Ignored,11,1,4,5.3,77.5,1195.34,7,170.76,0.294,4.7,1,No,Online,3,No
CUST10547,36,Female,North,38139.39,3.3,Yes,Unsubscribed,5,3,4,1.9,68.7,818.25,13,62.94,0.33,4.9,0,No,Online,12,Yes
CUST10077,34,Female,West,39491.83,18.3,Yes,Ignored,10,1,4,0.4,11.9,668.7,9,74.3,0.239,7.9,0,No,In-Store,115,No
CUST10022,39,Female,North,41703.12,5.5,Yes,Ignored,15,4,7,0.8,88.6,1069.48,12,89.12,0.2,1,2,No,In-Store,2,No
CUST11079,48,Female,East,55430.73,4.7,No,Ignored,6,3,11,9.8,63.2,1246.08,12,103.84,0.166,6.4,1,Yes,Online,4,No
CUST11186,26,Female,South,,2.4,Yes,Unsubscribed,3,1,11,2.8,51.1,885.42,11,80.49,0.264,7.2,2,Yes,In-Store,3,Yes
CUST10430,24,Female,West,72500.21,0.9,Yes,Unsubscribed,8,1,2,14.7,77.3,590.69,13,45.44,0.538,5,2,Yes,In-Store,3,Yes
CUST11007,46,Other,North,64291.35,3,Yes,Responded,7,3,10,10.6,27.9,1127.17,6,187.86,0.487,5.5,2,Yes,Online,9,No
CUST11067,52,Male,East,56376.96,3.5,No,Responded,1,0,9,5.2,,1124.17,10,112.42,0.234,6.7,0,No,Mobile App,19,Yes
CUST10586,32,Female,Central,64340.76,1.4,No,Ignored,2,1,3,9.4,0.1,711.7,11,64.7,0.201,8.4,2,No,Online,41,No
CUST10616,39,Female,Central,64839.05,0.8,No,Ignored,7,5,10,0.3,98,726.44,11,66.04,0.192,6,0,Yes,Online,0,No
CUST11094,47,Female,East,57077.13,1.7,Yes,Ignored,13,3,11,,70.9,739.43,14,52.82,0.195,3.8,1,No,Online,178,Yes
CUST10880,68,Male,West,95890.52,6.2,Yes,Ignored,4,1,9,3.9,26.1,890.22,10,89.02,0.144,3.3,1,No,In-Store,29,Yes
CUST10879,52,Other,Central,,1,Yes,Responded,7,4,5,,6.9,1169.5,10,116.95,0.05,,1,Yes,Online,52,Yes
CUST10956,42,Male,Central,,2.5,No,Ignored,7,1,8,2.5,23.9,548.81,11,49.89,0.474,6.9,2,No,In-Store,3,No
CUST10566,18,Female,North,54562.85,1.4,No,Responded,7,3,7,2.9,0.5,920.96,8,115.12,0.124,7.4,2,No,In-Store,23,No
CUST10140,41,Female,West,59466.77,1.4,No,Ignored,5,0,8,1.1,98.9,1953.04,8,244.13,0.387,6.2,2,No,Online,28,No
CUST10420,63,Male,West,25776.15,1.3,Yes,Responded,4,1,9,,74.9,305.07,12,25.42,0.445,8.8,1,No,Online,33,No
CUST10552,52,Female,South,91271.71,10.2,Yes,Ignored,6,2,5,6.7,7.7,509.32,6,84.89,0.733,8.1,3,No,In-Store,42,No
